,Time,ID,lat1,lon1
26,2020-03-17 11:15:59,B194A6D2-3A06-49FD-A606-9DB66A1F7185,39.558729,-76.99011
27,2020-03-17 11:16:05,F52B302C-01F4-472A-B3A9-9ECD6B87A97C,39.560437,-76.989873
30,2020-03-17 11:17:06,92C0FFEF-8BA1-4A5E-B17C-BE06FA947E32,39.55894,-76.98948
32,2020-03-17 11:17:29,F084AD2E-EDEF-413F-8A13-84E5AA64C191,39.558239,-76.990949
46,2020-03-17 11:48:52,D11CD279-3302-4EF7-87FC-64ABE55A367B,39.558671999999994,-76.989199
48,2020-03-17 11:49:15,7C89D858-C838-41E2-9EDA-AD20360E2694,39.557189,-76.99106
50,2020-03-17 11:46:50,E5243426-3A8B-493C-AB8B-C69ED012FF62,39.557159999999996,-76.9912
51,2020-03-17 11:47:44,E52A89DD-F772-4C98-B099-74A75F332AFF,39.558409999999995,-76.990449
65,2020-03-17 11:08:59,53EB5D7D-B939-4914-9A7E-1CE59E2A8B5C,39.557359999999996,-76.99145
66,2020-03-17 11:09:07,C08EF9C0-4E3B-4F38-8402-0E15580381F1,39.557404,-76.99101999999999
67,2020-03-17 11:09:08,1F4E93DC-6397-4C1F-85B2-4B3EF1A89908,39.557407,-76.991022
74,2020-03-17 11:41:49,6ECBCFA3-3FE5-4F35-8739-2162CE7DB997,39.560369,-76.98989
76,2020-03-17 11:56:07,738FA443-767E-4420-8796-0F9ECBFE2A86,39.55845,-76.987309
77,2020-03-17 11:56:23,B7063216-AB95-4264-BA18-C7A8C2169A18,39.557389,-76.991519
79,2020-03-17 11:56:28,7CC26930-DCE0-4EF4-9FB7-9F9A295333C2,39.55865,-76.987039
85,2020-03-17 11:14:38,063D7B55-973D-4BB4-A6F3-B6283748E0F5,39.55959,-76.987899
88,2020-03-17 11:03:13,84F67B89-81F6-4619-B35F-2446EDC3D1CB,39.560589,-76.989769
89,2020-03-17 11:04:02,8651C7EC-0F40-4F23-86F6-785D5B12A403,39.558409999999995,-76.99118
90,2020-03-17 11:04:04,DF6B0933-BDCA-4851-BBD1-26560619062C,39.55897,-76.986829
92,2020-03-17 11:53:13,44B45E29-DCE9-4537-8AF6-3D908062BE1E,39.556559,-76.98855999999999
105,2020-03-17 11:54:28,F93FC87E-330F-497B-90A8-AE527CBE2F80,39.55838,-76.99019399999999
108,2020-03-17 11:51:03,9A981368-024F-4531-AF78-32750946F8A4,39.557769,-76.99033
109,2020-03-17 11:06:17,18958B30-F869-4F25-84CE-1D7A41D23FB8,39.55733,-76.99124
111,2020-03-17 11:32:12,8E95C168-BC5D-4AD7-8112-32D652768D92,39.55727,-76.991799
224,2020-03-17 11:45:24,E24C9B7D-2781-46A7-9FF1-6C2EAD912FC0,39.559159,-76.98676999999999
228,2020-03-17 11:46:24,6E50CFB5-32AF-4108-A893-EA3E4832AD32,39.55471,-76.9893
234,2020-03-17 11:01:26,3CB66A68-D9C8-4AA5-BA86-71047FEFD0D4,39.55689,-76.992369
235,2020-03-17 11:01:26,D47D1B19-5D3A-4D56-8334-54609CBC0021,39.55735,-76.991209
272,2020-03-17 11:22:44,865739E9-2FA4-4869-A3DA-321D9D96203E,39.55798,-76.987859
286,2020-03-17 11:36:22,B22043F8-7D77-419F-8A23-3FEEF0127B58,39.557677000000005,-76.99145899999999
288,2020-03-17 11:00:30,3309A005-ED2B-498C-B88C-3F76F3AB698F,39.560388,-76.98955699999999
293,2020-03-17 11:43:53,7A3C8D06-25A8-4903-8B3B-F2413243DCD0,39.55888,-76.98475
